"set";"pvalue";"beta_gender_male";"beta_ethnicity_other";"beta_ethnicity_afam";"beta_score";"beta_fcollege_no";"beta_mcollege_no";"beta_home_no";"beta_urban_no";"beta_unemp";"beta_wage";"sd_gender_male";"sd_ethnicity_other";"sd_ethnicity_afam";"sd_score";"sd_fcollege_no";"sd_mcollege_no";"sd_home_no";"sd_urban_no";"sd_unemp";"sd_wage"
"1";"0.005";"0.014";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.029";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"2";"0.006";"0";"0.242";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.03";"0";"0";"0";"0";"0";"0";"0";"0"
"3";"0.009";"0";"0";"-0.256";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.039";"0";"0";"0";"0";"0";"0";"0"
"4";"0.01";"0";"0";"0";"0.045";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.002";"0";"0";"0";"0";"0";"0"
"5";"0.003";"0";"0";"0";"0";"-0.575";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.035";"0";"0";"0";"0";"0"
"6";"0.004";"0";"0";"0";"0";"0";"-0.58";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.041";"0";"0";"0";"0"
"7";"0.004";"0";"0";"0";"0";"0";"0";"-0.204";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.038";"0";"0";"0"
"8";"0.004";"0";"0";"0";"0";"0";"0";"0";"0.06";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.034";"0";"0"
"9";"0.009";"0";"0";"0";"0";"0";"0";"0";"0";"-0.005";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.005";"0"
"10";"0.003";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.016";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.011"
"11";"0.007";"0.011";"0.241";"0";"0";"0";"0";"0";"0";"0";"0";"0.029";"0.03";"0";"0";"0";"0";"0";"0";"0";"0"
"12";"0.007";"0.007";"0";"-0.255";"0";"0";"0";"0";"0";"0";"0";"0.029";"0";"0.039";"0";"0";"0";"0";"0";"0";"0"
