"ID";"N";"E";"Z1_int";"Z2_int";"Z3_int";"Z4_int";"Z5_int";"Z6_int";"interv"
"b-995637";"33";"1";"0";"0";"0";"0";"0";"0";"None"
"b-995637";"23";"2";"1";"0";"1";"1";"1";"1";"all"
"b-995637";"44";"3";"1";"0";"1";"1";"1";"1";"all"
"d-502168";"13";"1";"0";"0";"0";"0";"0";"0";"None"
"d-502168";"69";"2";"1";"0";"1";"0";"0";"0";"close"
"d-502168";"18";"3";"1";"0";"1";"0";"0";"0";"rand"
"t-599644";"74";"1";"0";"0";"0";"0";"0";"0";"None"
"t-599644";"17";"2";"0";"0";"0";"0";"1";"0";"rand"
"t-599644";"9";"3";"1";"1";"1";"1";"1";"0";"all"
"l-474049";"87";"1";"0";"0";"0";"0";"0";"0";"None"
"l-474049";"6";"2";"1";"1";"1";"0";"1";"1";"all"
"l-474049";"7";"3";"0";"0";"1";"0";"0";"1";"close"
"y-792466";"20";"1";"0";"0";"0";"0";"0";"0";"None"
"y-792466";"26";"2";"1";"1";"1";"1";"1";"0";"all"
"y-792466";"54";"3";"1";"1";"1";"1";"1";"0";"all"
"z-550235";"94";"1";"0";"0";"0";"0";"0";"0";"None"
"z-550235";"1";"2";"1";"0";"0";"1";"0";"0";"rand"
"z-550235";"5";"3";"1";"0";"0";"1";"0";"0";"rand"
"m-904406";"36";"1";"0";"0";"0";"0";"0";"0";"None"
"m-904406";"61";"2";"1";"1";"1";"1";"0";"1";"all"
"m-904406";"3";"3";"0";"0";"0";"0";"0";"1";"close"
"s-651227";"12";"1";"0";"0";"0";"0";"0";"0";"None"
"s-651227";"13";"2";"1";"0";"0";"0";"0";"1";"rand"
"s-651227";"75";"3";"0";"0";"1";"0";"0";"1";"close"
"k-168024";"60";"1";"0";"0";"0";"0";"0";"0";"None"
"k-168024";"39";"2";"0";"1";"0";"1";"0";"0";"rand"
"k-168024";"1";"3";"1";"1";"0";"1";"1";"1";"all"
"f-252954";"57";"1";"0";"0";"0";"0";"0";"0";"None"
"f-252954";"25";"2";"1";"0";"1";"1";"1";"1";"all"
"f-252954";"18";"3";"1";"0";"1";"1";"1";"1";"all"
"h-763754";"43";"1";"0";"0";"0";"0";"0";"0";"None"
"h-763754";"38";"2";"0";"1";"0";"1";"0";"0";"close"
"h-763754";"19";"3";"1";"0";"0";"1";"0";"0";"close"
"x-759237";"58";"1";"0";"0";"0";"0";"0";"0";"None"
"x-759237";"22";"2";"0";"0";"1";"0";"0";"1";"rand"
"x-759237";"20";"3";"1";"1";"1";"0";"1";"1";"all"
"m-556597";"3";"1";"0";"0";"0";"0";"0";"0";"None"
"m-556597";"40";"2";"0";"1";"1";"1";"1";"1";"all"
"m-556597";"57";"3";"0";"0";"1";"0";"0";"0";"close"
"d-710382";"82";"1";"0";"0";"0";"0";"0";"0";"None"
"d-710382";"6";"2";"0";"0";"0";"0";"0";"1";"rand"
"d-710382";"12";"3";"0";"0";"0";"0";"0";"1";"close"
"m-485863";"6";"1";"0";"0";"0";"0";"0";"0";"None"
"m-485863";"58";"2";"0";"0";"1";"0";"0";"1";"rand"
"m-485863";"36";"3";"0";"0";"1";"0";"0";"1";"close"
"g-986489";"24";"1";"0";"0";"0";"0";"0";"0";"None"
"g-986489";"12";"2";"0";"0";"0";"1";"0";"0";"close"
"g-986489";"64";"3";"0";"0";"0";"1";"0";"0";"rand"
