"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"p-462562";"Z_1";"50";"product";"FALSE";"2";"1";"1";"2";"0.4064";"0.192";"0.1205";"0.2378";"0.0918";"0.3784";"0.4713";"1.2896";"0.3332";"0.2675";"0.334";"0.1803";"0.1088";"0.0917";"0.1798";"0.5708";"1.0291";"0.3948";"1.2303";"0.3579";"1.1014";"0.2826";"0.2518";"0.3208";"0.0751";"0.9675";"0.5259";"1.0411";"0.9815";"0.1859";"0.9153"
"g-542006";"Z_3";"10";"product";"TRUE";"3";"0.2";"0.2";"2";"0.2105";"0.3246";"1.4256";"1.2173";"1.4947";"0.116";"0.1765";"0.2411";"0.4866";"0.5998";"0.3472";"1.5146";"1.4558";"0.8329";"0.4838";"0.2082";"0.1168";"0.1671";"0.0911";"0.3928";"0.3708";"0.6437";"0.8128";"0.7359";"0.458";"0.2035";"0.2327";"0.3236";"0.3291";"0.4972";"0.1905"
"z-661300";"Z_2";"50";"product";"TRUE";"10";"0.5";"10";"4";"0.225";"0.0846";"0.1273";"0.0907";"0.1314";"0.233";"0.3099";"0.2528";"0.3407";"0.1309";"0.1038";"0.1464";"0.1597";"0.1991";"0.1543";"0.3045";"0.2776";"0.3593";"0.3789";"0.4116";"0.3793";"0.1664";"0.2041";"0.186";"0.2482";"0.3929";"0.4087";"0.4272";"0.4908";"0.265";"0.5206"
"k-444621";"Z_2";"2";"product";"FALSE";"100";"0.5";"10";"4";"0.5036";"0.4937";"0.3974";"0.4757";"0.5203";"0.4768";"0.3656";"0.4633";"0.5123";"0.2936";"0.3894";"0.4969";"0.3255";"0.3348";"0.4722";"0.2382";"0.3677";"0.4864";"0.2983";"0.3165";"0.4716";"0.2393";"0.2492";"0.3876";"0.3372";"0.2291";"0.2381";"0.349";"0.3177";"0.2373";"0.2292"
"p-304308";"Z_5";"100";"product";"FALSE";"50";"0.2";"0";"2";"0.9784";"0.9528";"1.173";"1.7185";"0.7099";"0.9407";"1.1292";"1.8143";"0.766";"1.0436";"1.8172";"0.7426";"1.8362";"0.7621";"0.5531";"1.0471";"1.8168";"0.7496";"1.9053";"0.8304";"0.5615";"1.8356";"0.7639";"0.6799";"0.7514";"1.8324";"0.7589";"0.6799";"0.7514";"0.6998";"0.6998"
"n-125905";"Z_3";"3";"sum";"TRUE";"50";"5";"0.1";"2";"0.7888";"0.7859";"0.6018";"0.5054";"0.2985";"0.893";"0.9169";"0.7782";"0.3382";"0.9359";"0.7484";"0.3933";"0.6334";"0.1571";"0.0837";"1.2447";"0.9214";"0.422";"1.0129";"0.3253";"0.0603";"1.084";"0.2424";"0.0967";"0.1921";"1.0903";"0.387";"0.3419";"0.178";"0.2309";"0.3034"
"d-199588";"Z_1";"50";"sum";"FALSE";"3";"1";"5";"1";"0.0148";"0.0981";"0.114";"0.0638";"0.0918";"0.0168";"0.0278";"0.0359";"0.0099";"0.1103";"0.0642";"0.092";"0.0652";"0.0887";"0.065";"0.0254";"0.0378";"0.0165";"0.1188";"0.0261";"0.034";"0.0651";"0.0841";"0.0532";"0.0537";"0.1254";"0.0258";"0.0382";"0.1126";"0.0475";"0.1293"
"y-299664";"Z_5";"50";"product";"FALSE";"3";"0.1";"1";"1";"0.2977";"0.3005";"0.3167";"0.4721";"0.4398";"0.2945";"0.3065";"0.4579";"0.473";"0.3126";"0.4625";"0.493";"0.5743";"0.6384";"0.6088";"0.301";"0.4896";"0.5118";"0.5982";"0.6043";"0.4876";"0.5664";"0.6274";"0.6537";"0.5308";"0.5936";"0.5989";"0.483";"0.4532";"0.6457";"0.4806"
"o-827652";"Z_5";"5";"product";"FALSE";"20";"5";"5";"4";"1.8141";"1.41";"1.3316";"1.5588";"1.3326";"1.8342";"1.7531";"1.9757";"1.7206";"1.4083";"1.6939";"1.3316";"1.8079";"1.3381";"1.7997";"1.7781";"1.9786";"1.8424";"1.9149";"1.7816";"1.9801";"1.5776";"1.3436";"1.7375";"1.7899";"1.9297";"1.7997";"1.9841";"1.9411";"1.5966";"1.9579"
"r-495220";"Z_2";"50";"product";"FALSE";"50";"10";"5";"1";"0.6";"1e-04";"3e-04";"0.0032";"0";"0.0747";"0.4185";"0.6329";"0.0489";"2e-04";"0.003";"2e-04";"3e-04";"5e-04";"2e-04";"0.0835";"0.0731";"0.0626";"0.2979";"0.0454";"0.0589";"2e-04";"3e-04";"1e-04";"5e-04";"0.0783";"0.054";"0.0737";"0.048";"3e-04";"0.0518"
"j-662129";"Z_4";"3";"product";"FALSE";"2";"0.5";"5";"1";"0.0071";"9e-04";"0.3609";"2e-04";"0";"0.1338";"0.3347";"0.0217";"0.001";"0.2995";"0.5185";"1e-04";"0.3602";"0.3345";"0";"0.2713";"1.8317";"0.2151";"0.3347";"0.2394";"0.0042";"0.2909";"0.7877";"0";"0.576";"0.2677";"0.3963";"0.0302";"0.1623";"1.4764";"1.0922"
"v-210801";"Z_3";"2";"product";"TRUE";"3";"0";"0.5";"2";"1.751";"0.1374";"1.0952";"1.816";"0.987";"0.1743";"1.3155";"1.7808";"1.2362";"0.2139";"0.1875";"0.3627";"1.0989";"0.7165";"1.0291";"0.2013";"0.1721";"0.6742";"1.3072";"1.7254";"1.3803";"0.2552";"0.2365";"0.491";"1.1515";"0.2315";"0.9006";"0.7516";"1.2382";"0.0851";"0.7641"
"e-919789";"Z_1";"5";"product";"FALSE";"2";"0.2";"10";"4";"0.2094";"1.5374";"0.2131";"0.1176";"0.2094";"1.4524";"0.2094";"0.1365";"0.2205";"1.5024";"1.1401";"1.5849";"0.1365";"0.3185";"0.1495";"1.5374";"1.2604";"1.4342";"0.1757";"0.4106";"0.1365";"1.0571";"1.2114";"1.098";"0.3575";"1.3044";"1.2114";"1.3108";"0.3033";"1.1328";"1.0044"
"r-117439";"Z_4";"20";"sum";"FALSE";"20";"0";"10";"3";"0";"0";"0.5037";"0";"0";"0";"0.5218";"0";"0";"0.5545";"0";"0";"0.7757";"0.4263";"0";"0.7271";"0";"0";"0.7603";"0.3909";"0";"0.7452";"0.6136";"0";"0.7603";"0.7757";"0.8733";"0";"0.7302";"0.7914";"0.7155"
"m-782892";"Z_6";"10";"product";"FALSE";"5";"10";"0";"4";"1.1539";"1.2395";"1.3373";"1.1137";"1.2798";"1.3125";"1.5468";"1.3965";"1.2849";"1.5775";"1.0811";"1.3092";"1.6473";"1.4889";"1.1361";"1.8243";"1.4759";"1.3548";"1.8757";"1.7652";"1.5044";"1.2863";"1.6089";"1.0864";"1.6741";"1.4882";"1.8564";"1.4632";"1.872";"1.2918";"1.5128"
