"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"l-790580";"Z_1";"10";"product";"TRUE";"3";"1";"0.2";"2";"100";"0.1471";"0.5596";"0.3251";"0.858";"0.2194";"0.4719";"0.0697";"0.505";"0.1473";"0.5342";"0.7141";"0.7948";"0.8361";"0.1951";"0.7371";"0.4739";"0.4875";"0.7709";"0.3448";"0.0726";"0.3688";"0.4042";"0.4713";"0.8685";"0.4094";"0.7239";"0.725";"0.8431";"0.4591";"0.6249";"0.8493"
"i-686905";"Z_4";"5";"product";"FALSE";"100";"0.2";"0.5";"3";"100";"0.1593";"0.6159";"0.7699";"0.3097";"0.001";"10.302";"0.6036";"0.1808";"0.0378";"14.077";"0.7249";"0.0415";"0.6328";"0.2447";"0.0024";"10.173";"18.503";"0.2763";"0.6793";"0.598";"0.0448";"12.277";"13.513";"0.0307";"0.9654";"0.749";"0.6473";"0.6568";"0.3954";"0.7564";"11.543"
"l-712999";"Z_1";"3";"product";"TRUE";"10";"1";"0.2";"4";"100";"17.518";"0.6155";"10.625";"0.652";"0.416";"18.073";"16.662";"18.196";"11.039";"13.612";"0.6387";"0.7043";"0.8964";"0.6245";"12.439";"18.351";"0.6662";"15.701";"0.9831";"12.871";"14.276";"0.84";"11.778";"0.4498";"0.8964";"13.656";"10.969";"10.443";"17.874";"12.659";"0.933"
"k-655161";"Z_3";"50";"sum";"FALSE";"50";"0.2";"0.1";"3";"100";"0.3424";"0.3044";"0.1277";"0.8437";"0.4372";"0.6911";"0.27";"11.343";"0.4423";"0.3044";"12.617";"0.4279";"0.2643";"0.2545";"0.1458";"0.1394";"0.7279";"0.4148";"0.0651";"0.136";"0.0582";"0.2137";"0.3765";"0.0909";"0.0334";"0.0954";"0.0421";"0.0494";"0.0325";"0.0622";"0.0055"
"a-889981";"Z_2";"5";"sum";"FALSE";"10";"0.5";"0";"1";"100";"0.2102";"0.0847";"0.0489";"0.038";"0.0396";"0.0884";"0.2143";"0.3827";"0.1895";"0.0955";"0.1479";"0.0555";"0.2162";"0.0497";"0.1616";"0.0844";"0.04";"0.0359";"0.1069";"0.1078";"0.151";"0.1865";"0.0871";"0.2115";"0.113";"0.0324";"0.0517";"0.0362";"0.0868";"0.1938";"0.0214"
"j-334789";"Z_1";"3";"sum";"TRUE";"2";"1";"0";"4";"100";"0.4349";"0.3931";"0.3478";"0.3557";"0.2386";"0.5944";"0.397";"0.5924";"0.3122";"0.64";"0.4231";"0.7271";"0.5344";"0.2387";"0.4312";"0.6395";"0.3791";"0.7732";"0.5104";"0.443";"0.4732";"0.6037";"0.635";"0.4686";"0.4614";"0.8032";"0.5546";"0.5314";"0.6487";"0.5488";"0.8072"
"k-259727";"Z_6";"50";"sum";"TRUE";"5";"0.1";"10";"3";"100";"0";"0";"0";"1,00E-04";"8,00E-04";"2,00E-04";"0";"2,00E-04";"4,00E-04";"0";"0.0124";"5,00E-04";"0.0125";"0.0016";"0";"0";"0.0154";"0.0016";"0.0702";"0.0016";"0.0018";"0.0194";"4,00E-04";"0.1768";"0.8073";"0.0638";"0.0025";"0.0069";"0.6285";"10.108";"15.213"
"s-809109";"Z_5";"50";"product";"FALSE";"20";"10";"0.5";"2";"100";"0.7136";"0.6649";"0.4886";"0.6705";"0.3517";"0.558";"0.8121";"0.6302";"0.428";"0.452";"0.7981";"0.2736";"0.8068";"0.3447";"0.3892";"0.666";"0.4654";"0.2553";"0.6366";"0.4285";"0.2094";"0.5363";"0.2853";"0.3421";"0.6235";"0.4885";"0.3369";"0.1765";"0.5385";"0.9841";"0.4688"
"o-550536";"Z_6";"10";"sum";"TRUE";"2";"2";"0.1";"2";"100";"0.3719";"0.3609";"0.6861";"0.5089";"0.1465";"13.621";"0.7421";"12.693";"0.6064";"1.176";"0.5552";"0.5084";"0.2281";"0.348";"0.8055";"0.9661";"0.8148";"0.6319";"0.2158";"14.684";"0.6247";"0.2077";"11.339";"12.379";"0.2172";"0.199";"16.399";"17.596";"0.2798";"0.4946";"0.976"
"t-903015";"Z_2";"10";"product";"TRUE";"100";"10";"0.5";"4";"100";"1.405";"17.016";"19.219";"19.173";"18.609";"0.7126";"18.874";"17.464";"17.121";"14.068";"13.834";"13.694";"19.243";"17.838";"1.917";"18.443";"12.273";"13.818";"10.293";"19.702";"19.043";"19.813";"18.658";"19.074";"0.478";"18.963";"0.5579";"0.7764";"11.934";"19.153";"17.751"
"j-649235";"Z_1";"5";"sum";"FALSE";"20";"0.2";"10";"2";"100";"12.412";"12.807";"1.461";"15.584";"14.253";"0.8771";"11.748";"10.779";"13.755";"13.465";"13.363";"17.307";"12.789";"15.608";"14.449";"11.063";"0.9547";"12.252";"16.395";"13.775";"19.435";"13.433";"13.713";"13.746";"15.039";"10.308";"13.251";"15.243";"18.422";"12.863";"1.985"
"h-940139";"Z_2";"50";"sum";"TRUE";"20";"0.1";"5";"3";"100";"13.519";"0.0489";"0.0399";"0.0042";"0.0823";"0.766";"10.011";"11.389";"13.884";"0.0291";"0.0138";"0.0443";"0.0055";"0.0222";"0.0036";"0.379";"0.4074";"0.5275";"0.233";"0.9377";"0.988";"0.0021";"0.0453";"0.0068";"0.0137";"0.1158";"0.8039";"0.2726";"0.0998";"0.001";"0.1596"
"s-498520";"Z_3";"2";"product";"TRUE";"10";"1";"10";"2";"100";"3,00E-04";"0.419";"0";"0";"0";"0.0124";"0";"3,00E-04";"0.0111";"0.1823";"0.2351";"10.544";"0";"0";"0";"0";"0.0121";"5,00E-04";"0";"0.0037";"6,00E-04";"0.064";"0.8082";"0.1054";"0";"0.0202";"0.4231";"8,00E-04";"0.0051";"0.7928";"0.2591"
"g-408956";"Z_6";"100";"product";"TRUE";"50";"5";"0.1";"2";"100";"11.773";"0.9642";"0.1665";"0.2887";"1.306";"11.295";"0.1286";"0.1973";"18.006";"0.3086";"0.4823";"0.9189";"0.4583";"0.2147";"10.799";"0.0848";"0.5245";"19.183";"0.2179";"0.3502";"10.365";"0.0564";"0.0354";"10.818";"0.2237";"0.1369";"0.0577";"0.4205";"0.1583";"0.0345";"0.0515"
"g-248619";"Z_4";"5";"sum";"TRUE";"100";"0.2";"2";"1";"100";"0.0487";"0.0228";"0.5372";"0.2762";"0.7996";"0.0095";"0.7231";"0.1578";"0.3587";"0.7541";"0.0431";"0.4677";"0.7405";"1.006";"0.0188";"0.6263";"0.0189";"0.4617";"0.4162";"11.268";"0.024";"0.3489";"12.883";"0.0132";"0.5578";"0.3093";"0.8277";"0.0171";"0.5952";"0.4215";"0.5282"
"p-694606";"Z_4";"5";"product";"FALSE";"100";"0.1";"0.2";"3";"100";"0.0187";"0.05";"15.548";"0.0423";"15.599";"0.1049";"17.261";"0.1229";"16.325";"16.941";"0.1516";"17.638";"17.339";"15.145";"13.906";"18.922";"0.2876";"16.749";"16.987";"13.707";"0.7914";"17.051";"14.288";"11.263";"0.8245";"15.819";"0.8696";"0.5309";"0.6335";"0.4019";"0.1763"
"m-695183";"Z_4";"100";"sum";"FALSE";"20";"0";"1";"2";"100";"0.2999";"0.34";"0.9962";"0.6271";"0.0675";"0.4388";"11.544";"0.4077";"0.083";"0.945";"0.3906";"0.0617";"12.062";"0.2778";"0.2091";"0.8341";"0.2582";"0.0756";"17.663";"10.814";"0.1";"12.621";"0.4311";"0.1519";"11.661";"11.682";"0.7467";"0.2324";"14.452";"0.833";"14.149"
