"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";NA
"j-123520";"Z_1";"100";"sum";"FALSE";"50";"2";"0";"4";"100";"keine Zeilen im Input verfügbar"
"y-729646";"Z_1";"20";"sum";"TRUE";"5";"0.2";"1";"1";"100";"keine Zeilen im Input verfügbar"
"j-788214";"Z_6";"50";"sum";"TRUE";"50";"5";"5";"3";"100";"'x' muss mindestens 2 Zeilen und Spalten haben"
"o-873162";"Z_3";"20";"sum";"TRUE";"2";"10";"0";"2";"100";"kann Verbindung nicht öffnen"
"f-321721";"Z_4";"100";"sum";"TRUE";"100";"5";"0.5";"2";"100";"kann Verbindung nicht öffnen"
"m-590025";"Z_5";"10";"sum";"FALSE";"100";"2";"2";"2";"100";"kann Verbindung nicht öffnen"
"n-193645";"Z_6";"10";"product";"FALSE";"20";"0.5";"0";"4";"100";"kann Verbindung nicht öffnen"
"z-889087";"Z_4";"20";"sum";"TRUE";"10";"5";"5";"1";"100";"kann Verbindung nicht öffnen"
"a-474278";"Z_6";"3";"product";"TRUE";"100";"10";"2";"4";"100";"kann Verbindung nicht öffnen"
"n
";"";"";"";"";"";"";"";"";"";""
"q-659055";"Z_2";"10";"product";"TRUE";"50";"0.2";"0";"2";"100";"kann Verbindung nicht öffnen"
"m-338530";"Z_1";"100";"sum";"FALSE";"20";"0.1";"0.5";"3";"100";"kann Verbindung nicht öffnen"
"v-879217";"Z_3";"10";"product";"TRUE";"3";"5";"0.1";"2";"100";"kann Verbindung nicht öffnen"
"c-495165";"Z_2";"100";"sum";"TRUE";"2";"0.5";"10";"4";"100";"kann Verbindung nicht öffnen"
"k-229251";"Z_3";"100";"sum";"FALSE";"3";"0";"10";"1";"100";"kann Verbindung nicht öffnen"
"a-296196";"Z_4";"5";"sum";"TRUE";"10";"0.5";"2";"1";"100";"kann Verbindung nicht öffnen"
"d-307080";"Z_3";"100";"product";"FALSE";"50";"0.2";"0";"2";"100";"kann Verbindung nicht öffnen"
"s-799715";"Z_6";"100";"product";"FALSE";"3";"1";"0";"4";"100";"kann Verbindung nicht öffnen"
"j-475452";"Z_3";"3";"product";"TRUE";"2";"5";"0.2";"1";"100";"kann Verbindung nicht öffnen"
"i-152132";"Z_2";"100";"sum";"FALSE";"20";"0.5";"0";"2";"100";"kann Verbindung nicht öffnen"
"a-699115";"Z_5";"2";"sum";"FALSE";"100";"0";"1";"1";"100";"kann Verbindung nicht öffnen"
"nen
";"";"";"";"";"";"";"";"";"";""
"b-836255";"Z_3";"20";"product";"TRUE";"10";"0";"2";"2";"100";"kann Verbindung nicht öffnen"
"n-107943";"Z_6";"20";"product";"TRUE";"20";"0.2";"0.5";"3";"100";"kann Verbindung nicht öffnen"
"i-685422";"Z_5";"2";"sum";"TRUE";"10";"2";"0.2";"3";"100";"kann Verbindung nicht öffnen"
"q-606095";"Z_4";"50";"sum";"TRUE";"3";"2";"0";"2";"100";"kann Verbindung nicht öffnen"
"h-404128";"Z_3";"50";"sum";"TRUE";"5";"10";"0.1";"4";"100";"kann Verbindung nicht öffnen"
"z-880415";"Z_1";"20";"product";"FALSE";"3";"0";"0";"2";"100";"kann Verbindung nicht öffnen"
"v-498560";"Z_4";"20";"product";"TRUE";"50";"0";"0.2";"2";"100";"kann Verbindung nicht öffnen"
"g-855669";"Z_2";"2";"sum";"FALSE";"3";"10";"0";"4";"100";"kann Verbindung nicht öffnen"
"z-213412";"Z_1";"10";"sum";"TRUE";"100";"5";"2";"4";"100";"kann Verbindung nicht öffnen"
"s-612784";"Z_3";"3";"sum";"TRUE";"3";"1";"2";"4";"100";"kann Verbindung nicht öffnen"
"x-440656";"Z_5";"2";"product";"FALSE";"50";"5";"5";"1";"100";"kann Verbindung nicht öffnen"
"x-856138";"Z_6";"2";"product";"TRUE";"20";"0";"2";"4";"100";"kann Verbindung nicht öffnen"
"w-608198";"Z_6";"100";"sum";"TRUE";"3";"2";"10";"2";"100";"kann Verbindung nicht öffnen"
"s-969580";"Z_5";"20";"product";"TRUE";"3";"1";"5";"4";"100";"kann Verbindung nicht öffnen"
"e-784647";"Z_4";"10";"sum";"FALSE";"3";"0.5";"0.2";"4";"100";"kann Verbindung nicht öffnen"
"v-284624";"Z_6";"5";"product";"FALSE";"2";"10";"5";"4";"100";"kann Verbindung nicht öffnen"
"s-924568";"Z_4";"100";"product";"TRUE";"100";"0.1";"10";"3";"100";"kann Verbindung nicht öffnen"
"x-528128";"Z_6";"20";"sum";"TRUE";"5";"1";"1";"2";"100";"kann Verbindung nicht öffnen"
"v-538820";"Z_1";"100";"sum";"TRUE";"100";"0";"0.1";"4";"100";"kann Verbindung nicht öffnen"
"r-805480";"Z_2";"10";"sum";"TRUE";"100";"2";"5";"4";"100";"kann Verbindung nicht öffnen"
"k-137735";"Z_4";"50";"product";"TRUE";"3";"0.5";"10";"4";"100";"kann Verbindung nicht öffnen"
"z-867033";"Z_2";"5";"sum";"TRUE";"20";"1";"2";"3";"100";"kann Verbindung nicht öffnen"
"p-756621";"Z_2";"5";"sum";"TRUE";"100";"0.2";"5";"4";"100";"kann Verbindung nicht öffnen"
"v-959092";"Z_4";"100";"sum";"TRUE";"10";"5";"0.1";"3";"100";"'x' muss mindestens 2 Zeilen und Spalten haben"
