"ID";"N";"E";"Z1_int";"Z2_int";"Z3_int";"Z4_int";"Z5_int";"Z6_int";"interv"
"u-309902";"68";"1";"0";"0";"0";"0";"0";"0";"None"
"u-309902";"11";"2";"1";"0";"0";"0";"0";"1";"rand"
"u-309902";"21";"3";"0";"0";"1";"0";"0";"1";"close"
"n-945681";"37";"1";"0";"0";"0";"0";"0";"0";"None"
"n-945681";"12";"2";"0";"0";"0";"0";"0";"1";"close"
"n-945681";"51";"3";"1";"1";"1";"1";"0";"1";"all"
"g-304749";"20";"1";"0";"0";"0";"0";"0";"0";"None"
"g-304749";"46";"2";"0";"0";"1";"0";"0";"1";"rand"
"g-304749";"34";"3";"1";"0";"0";"0";"0";"1";"rand"
"r-416521";"66";"1";"0";"0";"0";"0";"0";"0";"None"
"r-416521";"10";"2";"1";"0";"1";"1";"1";"1";"all"
"r-416521";"24";"3";"1";"0";"1";"1";"1";"1";"all"
"t-779315";"50";"1";"0";"0";"0";"0";"0";"0";"None"
"t-779315";"40";"2";"0";"0";"0";"0";"0";"1";"close"
"t-779315";"10";"3";"1";"1";"1";"1";"0";"1";"all"
"e-297070";"47";"1";"0";"0";"0";"0";"0";"0";"None"
"e-297070";"31";"2";"0";"0";"1";"0";"0";"1";"rand"
"e-297070";"22";"3";"0";"0";"1";"0";"0";"1";"close"
"l-814016";"14";"1";"0";"0";"0";"0";"0";"0";"None"
"l-814016";"71";"2";"1";"1";"0";"1";"1";"1";"all"
"l-814016";"15";"3";"1";"1";"0";"1";"1";"1";"all"
"y-133759";"37";"1";"0";"0";"0";"0";"0";"0";"None"
"y-133759";"53";"2";"0";"1";"1";"1";"1";"1";"all"
"y-133759";"10";"3";"0";"0";"1";"0";"0";"0";"close"
"f-697081";"76";"1";"0";"0";"0";"0";"0";"0";"None"
"f-697081";"7";"2";"0";"1";"0";"1";"0";"0";"rand"
"f-697081";"17";"3";"1";"0";"0";"0";"0";"1";"close"
"n-974585";"86";"1";"0";"0";"0";"0";"0";"0";"None"
"n-974585";"8";"2";"0";"0";"0";"1";"0";"0";"close"
"n-974585";"6";"3";"1";"1";"1";"1";"1";"0";"all"
"p-189343";"46";"1";"0";"0";"0";"0";"0";"0";"None"
"p-189343";"41";"2";"0";"0";"1";"0";"0";"1";"close"
"p-189343";"13";"3";"0";"1";"0";"0";"0";"1";"rand"
"b-480533";"57";"1";"0";"0";"0";"0";"0";"0";"None"
"b-480533";"14";"2";"0";"0";"1";"0";"0";"1";"rand"
"b-480533";"29";"3";"1";"1";"1";"0";"1";"1";"all"
"h-632106";"32";"1";"0";"0";"0";"0";"0";"0";"None"
"h-632106";"8";"2";"0";"1";"0";"0";"0";"1";"rand"
"h-632106";"60";"3";"1";"1";"1";"0";"1";"1";"all"
"a-326851";"6";"1";"0";"0";"0";"0";"0";"0";"None"
"a-326851";"42";"2";"0";"0";"0";"0";"0";"1";"close"
"a-326851";"52";"3";"1";"1";"1";"1";"0";"1";"all"
"s-156789";"77";"1";"0";"0";"0";"0";"0";"0";"None"
"s-156789";"14";"2";"1";"1";"1";"1";"0";"1";"all"
"s-156789";"9";"3";"0";"0";"0";"0";"0";"1";"rand"
"r-520559";"66";"1";"0";"0";"0";"0";"0";"0";"None"
"r-520559";"3";"2";"0";"0";"0";"0";"0";"1";"rand"
"r-520559";"31";"3";"1";"1";"1";"1";"0";"1";"all"
"i-996027";"67";"1";"0";"0";"0";"0";"0";"0";"None"
"i-996027";"27";"2";"0";"1";"0";"0";"0";"0";"close"
"i-996027";"6";"3";"0";"0";"1";"0";"0";"0";"close"
"u-570976";"55";"1";"0";"0";"0";"0";"0";"0";"None"
"u-570976";"10";"2";"1";"1";"1";"1";"0";"1";"all"
"u-570976";"35";"3";"0";"0";"0";"0";"0";"1";"close"
"t-911555";"10";"1";"0";"0";"0";"0";"0";"0";"None"
"t-911555";"72";"2";"0";"0";"0";"1";"0";"0";"close"
"t-911555";"18";"3";"1";"1";"1";"1";"1";"0";"all"
"m-100935";"50";"1";"0";"0";"0";"0";"0";"0";"None"
"m-100935";"35";"2";"0";"1";"0";"0";"0";"0";"rand"
"m-100935";"15";"3";"0";"0";"1";"0";"0";"0";"rand"
"i-210530";"97";"1";"0";"0";"0";"0";"0";"0";"None"
"i-210530";"2";"2";"0";"0";"0";"0";"0";"1";"rand"
"i-210530";"1";"3";"1";"1";"1";"1";"0";"1";"all"
"j-552876";"54";"1";"0";"0";"0";"0";"0";"0";"None"
"j-552876";"43";"2";"0";"0";"0";"0";"0";"1";"close"
"j-552876";"3";"3";"1";"1";"1";"1";"0";"1";"all"
"w-323680";"64";"1";"0";"0";"0";"0";"0";"0";"None"
"w-323680";"36";"2";"1";"0";"1";"0";"0";"0";"close"
"w-323680";"0";"3";"1";"0";"0";"0";"0";"1";"rand"
"r-655378";"80";"1";"0";"0";"0";"0";"0";"0";"None"
"r-655378";"7";"2";"0";"1";"0";"0";"0";"1";"rand"
"r-655378";"13";"3";"1";"0";"0";"1";"0";"0";"close"
"z-751716";"28";"1";"0";"0";"0";"0";"0";"0";"None"
"z-751716";"22";"2";"1";"1";"1";"1";"0";"1";"all"
"z-751716";"50";"3";"0";"0";"0";"0";"0";"1";"close"
"e-863471";"99";"1";"0";"0";"0";"0";"0";"0";"None"
"e-863471";"1";"2";"1";"0";"0";"0";"0";"1";"close"
"e-863471";"0";"3";"1";"0";"0";"1";"0";"0";"rand"
"i-640481";"53";"1";"0";"0";"0";"0";"0";"0";"None"
"i-640481";"14";"2";"0";"0";"1";"0";"0";"0";"close"
"i-640481";"33";"3";"0";"1";"0";"0";"0";"0";"rand"
"v-757885";"6";"1";"0";"0";"0";"0";"0";"0";"None"
"v-757885";"55";"2";"0";"0";"1";"0";"0";"1";"close"
"v-757885";"39";"3";"0";"0";"1";"0";"0";"1";"close"
"k-544997";"35";"1";"0";"0";"0";"0";"0";"0";"None"
"k-544997";"44";"2";"1";"0";"0";"1";"0";"0";"rand"
