"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"u-309902";"Z_4";"50";"product";"FALSE";"3";"0.5";"10";"2";"100";"4e-04";"4e-04";"1e-04";"0.0026";"0.0026";"0.0029";"0.0026";"4e-04";"4e-04";"5e-04";"4e-04";"8e-04";"4e-04";"1e-04";"0.0026";"0.0026";"0.0026";"0.0026";"4e-04";"4e-04";"0.0026";"0.0026";"4e-04";"0.0026";"1e-04";"1e-04";"4e-04";"0.012";"0.0026";"2e-04";"4e-04"
"n-945681";"Z_5";"50";"product";"TRUE";"50";"1";"0.5";"3";"100";"2.739";"3.7574";"6.6866";"1.3968";"2.2623";"6.587";"2.9728";"11.6839";"6.5715";"3.6836";"11.8464";"1.6892";"3.2222";"0.7207";"0.0143";"1.8697";"6.6866";"1.6049";"6.6866";"1.3359";"0.4705";"8.0769";"0.3625";"0.33";"0.2321";"6.3999";"0.7207";"0.4211";"0.4619";"0.1603";"0.3101"
"g-304749";"Z_4";"3";"product";"FALSE";"10";"2";"0.5";"3";"100";"0.0541";"0.5659";"0.2172";"0.0431";"0.1295";"0.1413";"1.4173";"0.124";"0.0734";"0.3052";"0.0165";"0.0369";"2.0289";"10.1237";"0.0679";"3.0326";"0.0417";"0.263";"3.8725";"2.746";"0.0403";"0.7932";"0.8694";"0.4014";"3.1627";"1.4924";"2.5151";"0.1027";"0.8899";"5.287";"1.5277"
"r-416521";"Z_2";"20";"product";"TRUE";"10";"2";"2";"3";"100";"1.6454";"0.0132";"0.0112";"0.469";"0.0448";"0.0501";"0.6436";"2.5351";"1.7336";"0.118";"0.0175";"1e-04";"0.6592";"3.1782";"2.5034";"0.0313";"2.528";"0.5019";"0.7524";"1.0049";"0.1824";"2.1793";"8.1076";"3.5556";"7.5051";"0.2583";"0.6306";"3.119";"1.0936";"0.1574";"0.5019"
"b-967918";"Z_1";"10";"sum";"TRUE";"20";"0";"5";"2";"100";"6.2789";"2.988";"0.6747";"1.1447";"4.6001";"2.1408";"4.4999";"10.711";"0.8449";"3.8922";"11.0811";"3.955";"2.7594";"3.8922";"3.8922";"2.988";"3.8698";"3.8922";"3.8807";"7.6092";"9.5776";"4.6377";"6.4151";"6.5721";"5.2241";"3.7495";"3.0721";"10.1002";"4.8371";"4.3784";"2.528"
"t-779315";"Z_5";"2";"product";"TRUE";"5";"0.2";"5";"1";"100";"5.524";"1.1758";"4.8012";"4.2724";"2.2525";"5.7026";"0.9556";"1.3518";"3.0646";"11.066";"1.7215";"2.3207";"2.728";"2.3207";"3.7865";"6.2858";"6.7351";"2.5607";"3.335";"5.1595";"2.3207";"4.7749";"0.7087";"3.7865";"0.9913";"5.9965";"1.811";"1.2885";"1.2885";"0.938";"4.0646"
"e-297070";"Z_4";"50";"product";"FALSE";"20";"0.1";"0.1";"3";"100";"1.7336";"0.673";"2.5153";"6.0163";"4.8112";"0.3191";"4.0179";"1.4632";"4.6649";"2.4833";"4.276";"4.1723";"2.2632";"5.7356";"6.2126";"2.5928";"0.1481";"1.9945";"5.0485";"3.795";"1.3997";"1.0065";"2.5167";"2.2012";"4.9671";"3.4053";"1.7151";"1.4333";"2.4044";"3.8826";"3.7349"
"n-929979";"Z_3";"5";"sum";"TRUE";"5";"0.5";"0.1";"2";"100";"0.6395";"1.4971";"0.0835";"0.4043";"2.1718";"0.9786";"0.094";"0.9929";"1.2622";"0.2867";"1.2622";"0.0793";"0.0776";"0.5551";"0.9353";"0.1881";"0.6843";"1.0043";"0.131";"0.5551";"0.5551";"0.2886";"0.1127";"0.5551";"0.1972";"0.094";"0.5551";"0.6729";"0.9786";"0.1972";"1.9304"
"l-814016";"Z_3";"100";"sum";"TRUE";"100";"1";"0";"4";"100";"0.3918";"4.6003";"3.1442";"1.4188";"0.6672";"2.887";"0.7173";"4.6003";"3.3704";"3.1442";"3.1442";"2.887";"1.9646";"1.0739";"1.1816";"3.5493";"1.0739";"2.0487";"1.9646";"0.7173";"2.4759";"2.5886";"2.5987";"2.887";"3.1442";"5.3044";"2.887";"1.9646";"2.887";"1.9646";"5.3044"
"j-123520";"Z_1";"100";"sum";"FALSE";"50";"2";"0";"4";"100";"18.81";"13.5418";"18.24";"12.9891";"14.82";"23.37";"11.9182";"17.1";"18.24";"23.37";"14.82";"13.5418";"18.81";"19.38";"12.9891";"19.38";"17.67";"17.1";"15.39";"18.24";"21.09";"21.66";"18.24";"8.9818";"13.5418";"22.23";"19.95";"20.52";"17.1";"21.66";"21.66"
