"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"b-995637";"Z_2";"5";"product";"FALSE";"20";"0.1";"0.2";"3";"100";"0.5557";"0.2358";"0.3026";"0.4162";"0.2609";"0.2871";"0.2501";"0.6087";"0.3475";"0.2415";"0.2482";"0.2263";"0.3351";"0.2598";"0.2796";"0.2787";"0.344";"0.2736";"0.4116";"0.3262";"0.3593";"0.2618";"0.2268";"0.2383";"0.2813";"0.3413";"0.282";"0.3267";"0.3501";"0.2444";"0.3287"
"d-502168";"Z_2";"50";"product";"FALSE";"3";"0.1";"0";"1";"100";"0.2713";"0.5428";"0.4358";"0.4598";"0.5175";"0.0392";"0.2683";"0.1952";"0.1641";"0.3584";"0.445";"0.5364";"0.3823";"0.3166";"0.4037";"0.0103";"0.0316";"0.0239";"0.1969";"0.1355";"0.0679";"0.2941";"0.3215";"0.3907";"0.1442";"0.0076";"0.0111";"0.0302";"0.0177";"0.1381";"0.0056"
"t-599644";"Z_6";"3";"sum";"TRUE";"5";"0.5";"0.1";"2";"100";"0.5885";"0.3643";"0.2914";"0.6675";"0.1131";"0.4716";"0.2948";"0.5342";"0.6587";"0.3346";"0.455";"0.3522";"0.2011";"0.5789";"0.2263";"0.2694";"0.469";"0.5343";"0.1768";"0.9502";"0.7449";"0.2189";"0.6237";"0.2309";"1.041";"0.1805";"0.7942";"0.461";"10.665";"0.9961";"0.8695"
"l-474049";"Z_4";"100";"product";"TRUE";"2";"0.5";"1";"3";"100";"0.2875";"0.3922";"0.4356";"0.0296";"0.2248";"0.3104";"0.6366";"0.1032";"0.3008";"0.5997";"0.0244";"0.2402";"0.8014";"12.446";"0.5634";"0.8581";"0.1902";"0.1345";"0.0667";"12.067";"0.5634";"0.5312";"13.754";"0.5477";"0.8826";"0.0116";"0.9363";"0.3408";"10.749";"10.953";"0.9612"
"y-792466";"Z_6";"3";"sum";"FALSE";"20";"0.5";"0.1";"1";"100";"0";"9,00E-04";"1,00E-04";"0.0018";"0";"0.011";"0.0382";"0.5439";"0";"0.0697";"0.1976";"2,00E-04";"0.0281";"0.0023";"0.2851";"0.4059";"0.7034";"2,00E-04";"0.2472";"10.832";"1.295";"0.3172";"0.3012";"0.8612";"19.128";"13.567";"0.3352";"0.3584";"0.8724";"0.329";"0.328"
"z-550235";"Z_2";"5";"product";"FALSE";"5";"10";"10";"1";"100";"0.5625";"3,00E-04";"0.1389";"0";"0.0071";"0.9418";"0.4072";"0.5442";"0.2671";"0.3624";"0";"0.0066";"0.1608";"0.0252";"0.0073";"0.9577";"0.7069";"0.912";"0.3811";"0.0796";"0.2914";"0.3766";"0.0354";"0.0113";"0.0346";"0.7195";"0.7476";"0.7326";"0.0726";"0.0357";"0.941"
"m-904406";"Z_5";"20";"product";"FALSE";"5";"0.2";"10";"3";"100";"14.385";"15.621";"13.628";"15.109";"17.139";"14.317";"11.511";"14.253";"15.747";"13.517";"14.977";"16.927";"13.478";"13.776";"16.808";"11.429";"14.114";"15.504";"11.327";"13.519";"15.873";"13.442";"14.677";"16.592";"12.659";"11.313";"13.101";"1.551";"13.401";"13.776";"12.911"
"s-651227";"Z_4";"10";"product";"FALSE";"50";"0.1";"0";"3";"100";"0.7073";"10.016";"1.477";"10.815";"17.103";"0.4331";"15.186";"0.9586";"18.683";"15.186";"10.594";"17.024";"12.203";"12.495";"15.905";"15.856";"0.7475";"16.111";"12.895";"14.455";"18.324";"15.434";"13.134";"16.845";"13.317";"1.441";"16.913";"17.167";"14.906";"13.802";"16.754"
"k-168024";"Z_3";"5";"sum";"TRUE";"3";"1";"5";"2";"100";"9,00E-04";"0.7774";"0.0012";"7,00E-04";"0.5101";"0.4114";"8,00E-04";"9,00E-04";"0.9576";"0.8232";"0.8033";"10.522";"0.0011";"0.8179";"0.2952";"0.441";"0.4328";"0.5893";"8,00E-04";"0.7917";"0.6552";"0.8614";"0.6624";"1.017";"0.9174";"0.5154";"0.2644";"0.9281";"0.921";"0.5792";"0.4396"
"f-252954";"Z_2";"100";"product";"FALSE";"2";"0.5";"0.2";"1";"100";"0.3359";"0.0973";"0.1103";"0.0018";"0.0179";"0.1403";"0.6244";"0.3534";"0.4634";"0.3662";"0.1075";"0.1304";"0.1307";"0.1214";"0.0223";"0.21";"0.1382";"0.2323";"0.6136";"0.5259";"0.3902";"0.4393";"0.1799";"0.212";"0.1347";"0.207";"0.242";"0.2674";"0.3825";"0.2759";"0.2684"
"h-763754";"Z_3";"2";"product";"FALSE";"10";"0.5";"2";"3";"100";"0.0044";"10.567";"0.017";"0.0166";"0.1032";"0.5851";"0.0073";"0.0043";"0.0213";"0.2287";"0.9394";"0.5297";"0.0162";"0.0348";"0.0573";"10.567";"0.684";"0.4567";"0.0071";"0.0154";"0.0244";"0.1923";"0.3562";"0.0896";"0.0147";"0.9817";"0.3879";"0.4009";"0.0125";"0.0813";"0.3573"
