"ID";"N";"E";"Z1_int";"Z2_int";"Z3_int";"Z4_int";"Z5_int";"Z6_int";"interv"
"p-261856";"37";"1";"0";"0";"0";"0";"0";"0";"None"
"p-261856";"33";"2";"1";"0";"1";"0";"0";"0";"close"
"p-261856";"30";"3";"1";"0";"1";"0";"0";"0";"close"
"x-245541";"31";"1";"0";"0";"0";"0";"0";"0";"None"
"x-245541";"55";"2";"1";"1";"1";"1";"1";"0";"all"
"x-245541";"14";"3";"0";"0";"0";"1";"0";"0";"rand"
"e-928410";"59";"1";"0";"0";"0";"0";"0";"0";"None"
"e-928410";"29";"2";"0";"1";"0";"0";"0";"0";"rand"
"e-928410";"12";"3";"0";"0";"0";"0";"0";"1";"rand"
"j-154648";"57";"1";"0";"0";"0";"0";"0";"0";"None"
"j-154648";"43";"2";"1";"1";"1";"0";"1";"1";"all"
"j-154648";"0";"3";"0";"0";"1";"0";"0";"1";"close"
"p-620110";"2";"1";"0";"0";"0";"0";"0";"0";"None"
"p-620110";"45";"2";"0";"0";"0";"0";"0";"1";"close"
"p-620110";"53";"3";"1";"1";"1";"1";"0";"1";"all"
"m-863070";"12";"1";"0";"0";"0";"0";"0";"0";"None"
"m-863070";"56";"2";"0";"0";"1";"0";"0";"1";"close"
"m-863070";"32";"3";"0";"0";"1";"0";"0";"1";"close"
"a-961666";"98";"1";"0";"0";"0";"0";"0";"0";"None"
"a-961666";"2";"2";"0";"1";"1";"1";"1";"1";"all"
"a-961666";"0";"3";"0";"1";"1";"1";"1";"1";"all"
"v-422890";"66";"1";"0";"0";"0";"0";"0";"0";"None"
"v-422890";"20";"2";"1";"0";"0";"0";"0";"1";"rand"
"v-422890";"14";"3";"0";"0";"1";"0";"0";"1";"close"
"h-249728";"17";"1";"0";"0";"0";"0";"0";"0";"None"
"h-249728";"62";"2";"1";"1";"0";"1";"1";"1";"all"
"h-249728";"21";"3";"1";"1";"0";"1";"1";"1";"all"
"z-435953";"35";"1";"0";"0";"0";"0";"0";"0";"None"
"z-435953";"28";"2";"0";"1";"0";"0";"0";"0";"close"
"z-435953";"37";"3";"0";"0";"0";"0";"0";"1";"rand"
