"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"x-245541";"Z_6";"20";"sum";"FALSE";"20";"0.1";"0.2";"log";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0.0023";"0";"0";"0";"0";"2e-04";"0.5216";"0";"0";"0.0025";"0";"2e-04";"0.0695";"0";"0.001";"0.0897";"0.0034";"0";"0.0013";"0.065";"0.004";"0.0029";"0.0035"
"e-928410";"Z_1";"20";"sum";"TRUE";"20";"2";"5";"cubic";"100";"0.1721";"1.3717";"1.447";"1.5351";"1.447";"0.0119";"0.046";"0.2162";"0.046";"1.3473";"1.3541";"1.3232";"1.506";"1.2526";"1.5107";"7e-04";"0.0162";"6e-04";"0.078";"0.0032";"0.078";"0.7584";"0.8558";"0.7563";"0.8282";"6e-04";"0.001";"6e-04";"0.0035";"0.8936";"7e-04"
"j-154648";"Z_4";"50";"sum";"FALSE";"50";"0.1";"0";"softplus";"100";"0.6457";"0.9109";"0.4373";"0.6739";"0.8958";"0.8267";"0.4527";"0.4659";"0.6594";"0.4281";"0.6489";"0.9138";"0.2738";"0.3684";"0.4219";"0.4399";"0.4827";"0.8276";"0.2661";"0.3841";"0.3132";"0.2568";"0.3674";"0.4058";"0.2683";"0.2656";"0.3703";"0.2856";"0.2411";"0.2512";"0.2367"
"p-620110";"Z_5";"10";"sum";"TRUE";"10";"1";"1";"log";"100";"1.6954";"1.744";"1.7526";"1.77";"0.3359";"1.7331";"1.0551";"1.7255";"0.0608";"1.9085";"1.8688";"0.0917";"1.7053";"0.2612";"0.1064";"1.0684";"1.7135";"0.0732";"1.745";"0.3043";"0.0836";"1.8924";"0.4725";"0.0579";"0.1549";"1.6978";"0.1383";"0.07";"0.4663";"0.2918";"0.346"
"m-863070";"Z_4";"5";"sum";"FALSE";"5";"1";"1";"log";"100";"0.0208";"0.0223";"1.153";"0.0231";"0.1143";"0.0292";"1.1174";"0.0247";"0.091";"1.1075";"0.0208";"0.1096";"1.1517";"1.153";"0.1129";"1.1116";"0.0301";"0.0625";"1.0806";"1.1149";"0.0915";"1.0634";"1.1127";"0.1087";"1.153";"1.0727";"1.112";"0.0662";"1.0887";"1.0742";"1.0803"
"a-961666";"Z_1";"3";"sum";"FALSE";"3";"0";"1";"cubic";"100";"0.0796";"0.1332";"0.1261";"0.1332";"0.1261";"0.0664";"0.0706";"0.0845";"0.0706";"0.1065";"0.1261";"0.1065";"0.1332";"0.1128";"0.1332";"0.0796";"0.0664";"0.0796";"0.0706";"0.0664";"0.0706";"0.1006";"0.1006";"0.1006";"0.1128";"0.0796";"0.0796";"0.0796";"0.0664";"0.095";"0.075"
"v-422890";"Z_4";"2";"product";"TRUE";"2";"0.5";"10";"square";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"h-249728";"Z_3";"5";"product";"TRUE";"5";"0.2";"0";"softplus";"100";"1.0567";"1.1552";"0.7043";"1.5846";"0.6918";"0.736";"0.1431";"1.295";"0.5258";"0.4243";"1.6139";"0.6983";"0.6189";"0.7318";"0.4953";"0.2336";"0.7268";"0.326";"0.2062";"0.61";"0.3429";"0.4112";"0.7489";"0.5094";"0.5018";"0.2288";"0.398";"0.0653";"0.4519";"0.5156";"0.0535"
"z-435953";"Z_1";"100";"product";"FALSE";"100";"0";"0.5";"softplus";"100";"5e-04";"0.0339";"1.095";"0.8745";"0.7768";"0.4688";"0.045";"6e-04";"0.2866";"0.039";"0.0364";"0.0339";"1.2765";"0.7768";"0.1072";"0.7143";"0.3375";"0.2183";"0.0375";"0.5877";"0.4386";"0.039";"0.0399";"0.0408";"0.105";"0.5697";"0.4008";"0.2772";"0.5703";"0.048";"0.3981"
"c-601748";"Z_2";"100";"product";"TRUE";"100";"2";"2";"cubic";"100";"0.001";"0";"0";"0";"0";"7e-04";"1e-04";"0.0086";"8e-04";"0";"0";"0";"0";"0";"0";"0.0015";"5e-04";"0.0018";"8e-04";"2e-04";"0.0047";"0";"0";"0";"0";"7e-04";"0.0071";"9e-04";"3e-04";"0";"0.0067"
