"ID";"N";"E";"Z1_int";"Z2_int";"Z3_int";"Z4_int";"Z5_int";"Z6_int";"interv"
"n-277657";"3891";"1";"0";"0";"0";"0";"0";"0";"None"
"n-277657";"688";"2";"0";"0";"1";"0";"0";"0";"close"
"n-277657";"421";"3";"0";"1";"1";"1";"1";"1";"all"
"o-366165";"1648";"1";"0";"0";"0";"0";"0";"0";"None"
"o-366165";"2608";"2";"0";"0";"0";"0";"0";"1";"rand"
"o-366165";"744";"3";"0";"0";"0";"0";"0";"1";"close"
"v-657700";"4937";"1";"0";"0";"0";"0";"0";"0";"None"
"v-657700";"4";"2";"0";"1";"1";"1";"1";"1";"all"
"v-657700";"59";"3";"0";"1";"1";"1";"1";"1";"all"
"h-367637";"1046";"1";"0";"0";"0";"0";"0";"0";"None"
"h-367637";"3718";"2";"0";"0";"1";"0";"0";"1";"close"
"h-367637";"236";"3";"1";"1";"1";"0";"1";"1";"all"
"l-423761";"2772";"1";"0";"0";"0";"0";"0";"0";"None"
"l-423761";"1069";"2";"0";"0";"0";"0";"0";"1";"close"
"l-423761";"1159";"3";"0";"0";"0";"0";"0";"1";"close"
"g-417961";"1529";"1";"0";"0";"0";"0";"0";"0";"None"
"g-417961";"3077";"2";"0";"0";"1";"0";"0";"1";"close"
"g-417961";"394";"3";"0";"0";"1";"0";"0";"1";"close"
"e-168967";"3273";"1";"0";"0";"0";"0";"0";"0";"None"
"e-168967";"967";"2";"1";"0";"1";"0";"0";"0";"rand"
"e-168967";"760";"3";"1";"0";"1";"0";"0";"0";"close"
"j-273983";"3307";"1";"0";"0";"0";"0";"0";"0";"None"
"j-273983";"307";"2";"0";"0";"0";"0";"1";"0";"close"
"j-273983";"1386";"3";"1";"1";"1";"1";"1";"0";"all"
"q-964908";"2921";"1";"0";"0";"0";"0";"0";"0";"None"
"q-964908";"1084";"2";"1";"0";"0";"0";"0";"1";"rand"
"q-964908";"995";"3";"1";"0";"1";"0";"0";"0";"close"
"j-170926";"2114";"1";"0";"0";"0";"0";"0";"0";"None"
"j-170926";"623";"2";"1";"1";"1";"0";"1";"1";"all"
"j-170926";"2263";"3";"1";"1";"1";"0";"1";"1";"all"
"x-899747";"148";"1";"0";"0";"0";"0";"0";"0";"None"
"x-899747";"1950";"2";"0";"1";"1";"1";"1";"1";"all"
"x-899747";"2902";"3";"0";"1";"0";"0";"0";"0";"close"
"x-740980";"4127";"1";"0";"0";"0";"0";"0";"0";"None"
"x-740980";"679";"2";"0";"0";"0";"0";"1";"0";"close"
"x-740980";"194";"3";"1";"1";"1";"1";"1";"0";"all"
"x-131435";"3041";"1";"0";"0";"0";"0";"0";"0";"None"
"x-131435";"825";"2";"0";"0";"1";"0";"0";"1";"rand"
"x-131435";"1134";"3";"0";"1";"0";"0";"0";"1";"rand"
"n-645384";"4820";"1";"0";"0";"0";"0";"0";"0";"None"
"n-645384";"72";"2";"1";"1";"1";"1";"1";"0";"all"
"n-645384";"108";"3";"0";"0";"0";"1";"0";"0";"rand"
"x-270463";"2718";"1";"0";"0";"0";"0";"0";"0";"None"
"x-270463";"1919";"2";"0";"1";"1";"1";"1";"1";"all"
"x-270463";"363";"3";"0";"1";"1";"1";"1";"1";"all"
"h-722051";"2560";"1";"0";"0";"0";"0";"0";"0";"None"
"h-722051";"2300";"2";"0";"0";"0";"0";"0";"1";"rand"
"h-722051";"140";"3";"0";"0";"0";"0";"0";"1";"rand"
"u-521068";"371";"1";"0";"0";"0";"0";"0";"0";"None"
"u-521068";"2145";"2";"1";"0";"0";"0";"0";"1";"rand"
"u-521068";"2484";"3";"0";"1";"0";"0";"0";"1";"rand"
"m-409320";"4989";"1";"0";"0";"0";"0";"0";"0";"None"
"m-409320";"2";"2";"0";"0";"1";"0";"0";"1";"rand"
"m-409320";"9";"3";"1";"1";"1";"0";"1";"1";"all"
"v-568993";"355";"1";"0";"0";"0";"0";"0";"0";"None"
"v-568993";"691";"2";"0";"1";"0";"0";"0";"0";"rand"
"v-568993";"3954";"3";"0";"1";"0";"0";"0";"0";"rand"
"a-549061";"3358";"1";"0";"0";"0";"0";"0";"0";"None"
"a-549061";"886";"2";"1";"1";"1";"1";"1";"0";"all"
"a-549061";"756";"3";"0";"0";"1";"0";"0";"0";"close"
"e-158299";"4761";"1";"0";"0";"0";"0";"0";"0";"None"
"e-158299";"220";"2";"0";"0";"1";"0";"0";"0";"close"
"e-158299";"19";"3";"1";"1";"1";"1";"1";"0";"all"
"q-921164";"2419";"1";"0";"0";"0";"0";"0";"0";"None"
"q-921164";"1534";"2";"1";"1";"0";"1";"1";"1";"all"
"q-921164";"1047";"3";"1";"0";"0";"0";"0";"1";"close"
"x-536194";"1793";"1";"0";"0";"0";"0";"0";"0";"None"
"x-536194";"2184";"2";"0";"0";"1";"0";"0";"0";"close"
"x-536194";"1023";"3";"0";"0";"1";"0";"0";"0";"rand"
"u-358185";"4315";"1";"0";"0";"0";"0";"0";"0";"None"
"u-358185";"274";"2";"0";"0";"0";"0";"1";"0";"rand"
"u-358185";"411";"3";"1";"1";"1";"1";"1";"0";"all"
"h-454354";"2987";"1";"0";"0";"0";"0";"0";"0";"None"
"h-454354";"1402";"2";"1";"1";"1";"0";"1";"1";"all"
"h-454354";"611";"3";"0";"0";"1";"0";"0";"1";"close"
"e-654272";"240";"1";"0";"0";"0";"0";"0";"0";"None"
"e-654272";"2494";"2";"1";"0";"0";"0";"0";"1";"rand"
"e-654272";"2266";"3";"1";"0";"0";"1";"0";"0";"rand"
"f-675858";"1319";"1";"0";"0";"0";"0";"0";"0";"None"
"f-675858";"3241";"2";"1";"1";"0";"1";"1";"1";"all"
"f-675858";"440";"3";"1";"1";"0";"1";"1";"1";"all"
"n-652074";"2181";"1";"0";"0";"0";"0";"0";"0";"None"
"n-652074";"1";"2";"0";"1";"0";"1";"0";"0";"rand"
"n-652074";"2818";"3";"1";"1";"0";"1";"1";"1";"all"
"x-815652";"482";"1";"0";"0";"0";"0";"0";"0";"None"
"x-815652";"3698";"2";"0";"0";"1";"0";"0";"1";"close"
"x-815652";"820";"3";"0";"1";"0";"0";"0";"1";"rand"
"j-322633";"4021";"1";"0";"0";"0";"0";"0";"0";"None"
"j-322633";"592";"2";"0";"1";"0";"0";"0";"0";"close"
"j-322633";"387";"3";"0";"0";"1";"0";"0";"0";"close"
"v-898412";"2038";"1";"0";"0";"0";"0";"0";"0";"None"
"v-898412";"1386";"2";"1";"1";"1";"1";"0";"1";"all"
"v-898412";"1576";"3";"0";"0";"0";"0";"0";"1";"close"
