"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"n-277657";"Z_1";"2";"product";"TRUE";"2";"0";"0.2";"cubic";"5000";"0.2033";"0.8014";"0.5555";"0.668";"0.5555";"0.5098";"0.9245";"0.2023";"0.9245";"0.8501";"0.9684";"0.8501";"0.5524";"0.6467";"0.5524";"0.5482";"0.4637";"0.5482";"0.9226";"0.8133";"0.9226";"0.8493";"0.8936";"0.8493";"0.6448";"0.5435";"0.224";"0.5435";"0.8099";"0.8933";"0.2215"
"o-366165";"Z_5";"10";"sum";"TRUE";"10";"0";"10";"softplus";"5000";"0.8162";"0.799";"0.7751";"0.7877";"0";"0.8208";"0.7783";"0.8145";"0";"0.7798";"0.7974";"0";"0.7656";"0";"0";"0.7731";"0.8176";"0";"0.7658";"0";"0";"0.7707";"0";"0";"0";"0.76";"0";"0";"0";"0";"0"
"v-657700";"Z_1";"20";"product";"TRUE";"20";"0.1";"2";"softplus";"5000";"0";"2e-04";"0.2054";"0.0556";"0.9331";"0";"0";"0";"0";"0.018";"3e-04";"2e-04";"0.2346";"0.1662";"0.0014";"0";"0";"0";"0";"0";"0";"0.0195";"0.0227";"3e-04";"0.0949";"0";"0";"0";"0";"0.0265";"0"
"h-367637";"Z_4";"2";"product";"TRUE";"2";"0.5";"0.1";"cubic";"5000";"0.0047";"0.0036";"2e-04";"1.1584";"0.001";"0.037";"0.0075";"0.0047";"0.0479";"0.0027";"0.0028";"0.073";"0.0031";"0.0645";"0.0054";"0.0037";"0.044";"0.0227";"0";"0.2122";"0.0439";"0.008";"0.0143";"0.0519";"0.0652";"0.0189";"0.0069";"0.0233";"0.2121";"0.014";"0.0068"
"l-423761";"Z_5";"100";"sum";"TRUE";"100";"0";"2";"square";"5000";"0.2694";"0.2909";"0.2818";"0.2779";"1.8851";"0.2737";"0.275";"0.2662";"1.9612";"0.2906";"0.2872";"1.9046";"0.2787";"1.5177";"1.7351";"0.2771";"0.2706";"1.9063";"0.2702";"1.4733";"1.8352";"0.2865";"1.4719";"1.7481";"1.4509";"0.2719";"1.4746";"1.9907";"1.4395";"1.373";"1.416"
"g-417961";"Z_4";"20";"product";"FALSE";"20";"5";"5";"softplus";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"e-168967";"Z_2";"2";"product";"FALSE";"2";"2";"10";"cubic";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"j-273983";"Z_6";"3";"product";"TRUE";"3";"0.5";"0.5";"softplus";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"q-964908";"Z_2";"5";"product";"FALSE";"5";"0.2";"10";"log";"5000";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"j-170926";"Z_4";"10";"sum";"FALSE";"10";"2";"0.1";"softplus";"5000";"9e-04";"0.2843";"0.8097";"0.0593";"0.1724";"0.1019";"0.8022";"0.0134";"0.8465";"0.8037";"0.3449";"0.0011";"0.5157";"0.4045";"0";"0.7947";"0.2179";"0.9265";"0.7429";"0.7668";"0";"0.2053";"0.1918";"0";"0";"0.7364";"0.7651";"0.0027";"2e-04";"0";"0.0012"
