"ID";"N";"E";"Z1_int";"Z2_int";"Z3_int";"Z4_int";"Z5_int";"Z6_int";"interv"
"d-519078";"99";"1";"0";"0";"0";"0";"0";"0";"None"
"d-519078";"1";"2";"1";"1";"1";"1";"1";"0";"all"
"d-519078";"0";"3";"1";"1";"1";"1";"1";"0";"all"
"v-757185";"33";"1";"0";"0";"0";"0";"0";"0";"None"
"v-757185";"52";"2";"0";"0";"1";"0";"0";"1";"close"
"v-757185";"15";"3";"0";"0";"1";"0";"0";"1";"rand"
"n-833301";"49";"1";"0";"0";"0";"0";"0";"0";"None"
"n-833301";"7";"2";"0";"0";"0";"0";"1";"0";"close"
"n-833301";"44";"3";"1";"1";"1";"1";"1";"0";"all"
"h-262709";"69";"1";"0";"0";"0";"0";"0";"0";"None"
"h-262709";"27";"2";"1";"1";"0";"1";"1";"1";"all"
"h-262709";"4";"3";"1";"0";"0";"1";"0";"0";"rand"
"z-398637";"75";"1";"0";"0";"0";"0";"0";"0";"None"
"z-398637";"11";"2";"0";"1";"0";"0";"0";"1";"close"
"z-398637";"14";"3";"1";"1";"0";"1";"1";"1";"all"
"i-714521";"89";"1";"0";"0";"0";"0";"0";"0";"None"
"i-714521";"9";"2";"0";"0";"0";"0";"0";"1";"rand"
"i-714521";"2";"3";"0";"1";"1";"1";"1";"1";"all"
"w-400332";"9";"1";"0";"0";"0";"0";"0";"0";"None"
"w-400332";"31";"2";"1";"0";"0";"1";"0";"0";"close"
"w-400332";"60";"3";"1";"0";"0";"0";"0";"1";"close"
"o-802699";"39";"1";"0";"0";"0";"0";"0";"0";"None"
"o-802699";"57";"2";"0";"0";"0";"0";"0";"1";"rand"
"o-802699";"4";"3";"0";"0";"0";"0";"0";"1";"rand"
"w-391126";"46";"1";"0";"0";"0";"0";"0";"0";"None"
"w-391126";"28";"2";"1";"0";"0";"0";"0";"1";"rand"
"w-391126";"26";"3";"0";"0";"1";"0";"0";"1";"close"
"j-241112";"94";"1";"0";"0";"0";"0";"0";"0";"None"
"j-241112";"2";"2";"0";"0";"0";"1";"0";"0";"rand"
"j-241112";"4";"3";"0";"1";"0";"0";"0";"0";"close"
"p-313785";"26";"1";"0";"0";"0";"0";"0";"0";"None"
"p-313785";"10";"2";"0";"1";"0";"0";"0";"0";"rand"
"p-313785";"64";"3";"0";"1";"1";"1";"1";"1";"all"
"o-857917";"38";"1";"0";"0";"0";"0";"0";"0";"None"
"o-857917";"11";"2";"0";"0";"0";"1";"0";"0";"rand"
"o-857917";"51";"3";"0";"1";"0";"0";"0";"0";"close"
"b-185174";"23";"1";"0";"0";"0";"0";"0";"0";"None"
"b-185174";"69";"2";"1";"1";"1";"1";"0";"1";"all"
"b-185174";"8";"3";"0";"0";"0";"0";"0";"1";"rand"
"k-609902";"18";"1";"0";"0";"0";"0";"0";"0";"None"
"k-609902";"60";"2";"0";"0";"1";"0";"0";"1";"close"
"k-609902";"22";"3";"1";"1";"1";"0";"1";"1";"all"
"k-819776";"74";"1";"0";"0";"0";"0";"0";"0";"None"
"k-819776";"9";"2";"1";"1";"1";"0";"1";"1";"all"
"k-819776";"17";"3";"1";"1";"1";"0";"1";"1";"all"
"e-528728";"42";"1";"0";"0";"0";"0";"0";"0";"None"
"e-528728";"46";"2";"1";"1";"1";"0";"1";"1";"all"
"e-528728";"12";"3";"0";"0";"1";"0";"0";"1";"close"
"a-648663";"25";"1";"0";"0";"0";"0";"0";"0";"None"
"a-648663";"65";"2";"1";"0";"0";"0";"0";"1";"rand"
"a-648663";"10";"3";"1";"1";"1";"0";"1";"1";"all"
"r-715354";"87";"1";"0";"0";"0";"0";"0";"0";"None"
"r-715354";"8";"2";"0";"0";"0";"1";"0";"0";"close"
"r-715354";"5";"3";"0";"0";"1";"0";"0";"0";"close"
"a-438069";"7";"1";"0";"0";"0";"0";"0";"0";"None"
"a-438069";"93";"2";"1";"1";"0";"1";"1";"1";"all"
"a-438069";"0";"3";"0";"1";"0";"1";"0";"0";"rand"
"j-101735";"68";"1";"0";"0";"0";"0";"0";"0";"None"
"j-101735";"19";"2";"1";"1";"1";"1";"1";"0";"all"
"j-101735";"13";"3";"0";"0";"1";"0";"0";"0";"close"
"h-839829";"84";"1";"0";"0";"0";"0";"0";"0";"None"
"h-839829";"14";"2";"0";"1";"0";"0";"0";"0";"close"
"h-839829";"2";"3";"0";"0";"0";"0";"0";"1";"rand"
"o-673543";"99";"1";"0";"0";"0";"0";"0";"0";"None"
"o-673543";"1";"2";"0";"1";"1";"1";"1";"1";"all"
"o-673543";"0";"3";"0";"0";"1";"0";"0";"0";"close"
"n-785300";"58";"1";"0";"0";"0";"0";"0";"0";"None"
"n-785300";"25";"2";"1";"0";"1";"0";"0";"0";"close"
"n-785300";"17";"3";"1";"0";"1";"1";"1";"1";"all"
"q-908335";"86";"1";"0";"0";"0";"0";"0";"0";"None"
"q-908335";"3";"2";"1";"1";"1";"0";"1";"1";"all"
"q-908335";"11";"3";"0";"0";"1";"0";"0";"1";"close"
"y-558382";"53";"1";"0";"0";"0";"0";"0";"0";"None"
"y-558382";"14";"2";"1";"1";"1";"1";"1";"0";"all"
"y-558382";"33";"3";"1";"0";"0";"0";"0";"0";"rand"
"x-210173";"47";"1";"0";"0";"0";"0";"0";"0";"None"
"x-210173";"13";"2";"0";"0";"1";"0";"0";"1";"close"
"x-210173";"40";"3";"0";"0";"1";"0";"0";"1";"close"
"i-394224";"25";"1";"0";"0";"0";"0";"0";"0";"None"
"i-394224";"12";"2";"0";"1";"1";"1";"1";"1";"all"
"i-394224";"63";"3";"0";"0";"1";"0";"0";"0";"close"
"o-856660";"43";"1";"0";"0";"0";"0";"0";"0";"None"
"o-856660";"56";"2";"1";"0";"1";"0";"0";"0";"close"
"o-856660";"1";"3";"1";"0";"1";"0";"0";"0";"close"
"r-266593";"54";"1";"0";"0";"0";"0";"0";"0";"None"
"r-266593";"26";"2";"1";"0";"0";"0";"0";"1";"rand"
"r-266593";"20";"3";"1";"0";"1";"1";"1";"1";"all"
"f-725939";"63";"1";"0";"0";"0";"0";"0";"0";"None"
"f-725939";"27";"2";"1";"1";"0";"1";"1";"1";"all"
"f-725939";"10";"3";"1";"1";"0";"1";"1";"1";"all"
"y-104002";"36";"1";"0";"0";"0";"0";"0";"0";"None"
"y-104002";"7";"2";"1";"0";"0";"0";"0";"1";"rand"
"y-104002";"57";"3";"0";"0";"1";"0";"0";"1";"close"
"e-975671";"17";"1";"0";"0";"0";"0";"0";"0";"None"
"e-975671";"79";"2";"1";"1";"1";"0";"1";"1";"all"
"e-975671";"4";"3";"1";"1";"1";"0";"1";"1";"all"
"w-282001";"47";"1";"0";"0";"0";"0";"0";"0";"None"
"w-282001";"6";"2";"1";"1";"1";"0";"1";"1";"all"
"w-282001";"47";"3";"0";"0";"1";"0";"0";"1";"close"
"v-944873";"50";"1";"0";"0";"0";"0";"0";"0";"None"
"v-944873";"46";"2";"0";"1";"0";"1";"0";"0";"rand"
"v-944873";"4";"3";"0";"1";"0";"1";"0";"0";"rand"
"r-794655";"15";"1";"0";"0";"0";"0";"0";"0";"None"
"r-794655";"77";"2";"0";"0";"0";"0";"0";"1";"rand"
"r-794655";"8";"3";"0";"0";"0";"0";"0";"1";"rand"
"k-618201";"10";"1";"0";"0";"0";"0";"0";"0";"None"
"k-618201";"33";"2";"0";"1";"0";"0";"0";"0";"close"
"k-618201";"57";"3";"0";"1";"1";"1";"1";"1";"all"
"t-349537";"56";"1";"0";"0";"0";"0";"0";"0";"None"
"t-349537";"3";"2";"0";"0";"1";"0";"0";"0";"close"
"t-349537";"41";"3";"0";"0";"1";"0";"0";"0";"close"
"y-855466";"51";"1";"0";"0";"0";"0";"0";"0";"None"
"y-855466";"43";"2";"0";"0";"1";"0";"0";"0";"close"
"y-855466";"6";"3";"1";"1";"1";"1";"1";"0";"all"
"s-433303";"4";"1";"0";"0";"0";"0";"0";"0";"None"
"s-433303";"36";"2";"1";"0";"0";"1";"0";"0";"close"
"s-433303";"60";"3";"0";"1";"0";"0";"0";"1";"close"
"o-758909";"95";"1";"0";"0";"0";"0";"0";"0";"None"
"o-758909";"1";"2";"1";"0";"1";"0";"0";"0";"close"
"o-758909";"4";"3";"1";"0";"1";"1";"1";"1";"all"
"a-472256";"23";"1";"0";"0";"0";"0";"0";"0";"None"
"a-472256";"4";"2";"1";"1";"0";"1";"1";"1";"all"
"a-472256";"73";"3";"1";"0";"0";"0";"0";"1";"close"
"g-353130";"47";"1";"0";"0";"0";"0";"0";"0";"None"
"g-353130";"24";"2";"1";"1";"1";"1";"0";"1";"all"
"g-353130";"29";"3";"1";"1";"1";"1";"0";"1";"all"
"h-922591";"85";"1";"0";"0";"0";"0";"0";"0";"None"
"h-922591";"11";"2";"0";"0";"1";"0";"0";"0";"rand"
"h-922591";"4";"3";"0";"0";"0";"1";"0";"0";"close"
"v-551443";"45";"1";"0";"0";"0";"0";"0";"0";"None"
"v-551443";"13";"2";"1";"0";"1";"1";"1";"1";"all"
"v-551443";"42";"3";"1";"0";"0";"1";"0";"0";"rand"
