"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"r-794655";"Z_5";"5";"product";"FALSE";"5";"0";"0.5";"cubic";"100";"0.9152";"0.9371";"1.0725";"1.0636";"0.6655";"1.0701";"1.0415";"1.0118";"0.3799";"0.8477";"0.9348";"0.5401";"1.0709";"0.7214";"0.7124";"1.0614";"1.101";"0.5083";"1.0395";"0.4473";"0.4271";"0.8791";"0.347";"0.4767";"0.7185";"0.9228";"0.4355";"0.5172";"0.4356";"0.1889";"0.2125"
"k-618201";"Z_1";"50";"sum";"FALSE";"50";"2";"2";"log";"100";"0.0407";"0.0291";"0.0491";"0.0495";"0.0084";"0.0282";"0.0448";"0.0428";"0.0105";"0.0115";"0.0422";"0.0113";"0.0495";"0.0041";"0.0025";"0.0128";"0.0455";"0.0127";"0.045";"0.0045";"0.0019";"0.0142";"0.0059";"0.0063";"0.0025";"0.0119";"0.0067";"0.0047";"0.0014";"0.0041";"0.0017"
"t-349537";"Z_6";"100";"product";"FALSE";"100";"5";"1";"softplus";"100";"0";"0";"0.0984";"0";"0";"0";"0.0719";"0";"0";"0.1168";"0";"0";"0.1307";"0.0456";"0";"0.1795";"0";"0";"0.0965";"0.0408";"0";"0.1397";"0.0581";"0";"0.024";"0.1767";"0.0834";"0";"0.0205";"0.0288";"0.04"
"y-855466";"Z_6";"10";"product";"TRUE";"10";"0.2";"0";"softplus";"100";"0.8236";"0.5034";"1.7676";"0.9073";"0.9218";"0.425";"0.7052";"0.7708";"0.9625";"0.3877";"0.5033";"0.6362";"1.4802";"1.4994";"0.7441";"0.6047";"0.4583";"0.6309";"0.6858";"1.023";"0.7674";"0.6449";"0.8856";"0.5283";"1.4983";"0.6018";"0.8866";"0.5751";"1.0309";"0.9045";"0.9057"
"s-433303";"Z_3";"100";"product";"TRUE";"100";"0.1";"0.5";"cubic";"100";"1.4284";"1.2973";"0.0024";"0.1419";"0.0039";"0.2932";"0.349";"0.9832";"0.3398";"1.2706";"1.2316";"1.2346";"0.0067";"0.0011";"0.0111";"0.3108";"0.2952";"0.2331";"0.2601";"0.1961";"0.2216";"1.2105";"1.3921";"1.1738";"0.0022";"0.3449";"0.4541";"0.2535";"0.1471";"1.3416";"0.4986"
"o-758909";"Z_2";"2";"sum";"FALSE";"2";"1";"0.2";"cubic";"100";"0.0324";"0.4626";"0.4626";"0.4284";"0.4805";"0.0232";"0.028";"0.0328";"0.0281";"0.5788";"0.4137";"0.5788";"0.4137";"0.5788";"0.4284";"0.0204";"0.0234";"0.0204";"0.0282";"0.0208";"0.0283";"0.5377";"0.6002";"0.5377";"0.5377";"0.0206";"0.0202";"0.0206";"0.021";"0.5579";"0.0204"
"a-472256";"Z_3";"10";"sum";"TRUE";"10";"0.2";"10";"log";"100";"0";"0";"0";"0";"0";"0.1503";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0.17";"0.1312";"0.1495";"0";"0";"0";"0";"0";"0";"0";"0.1616";"0.1868";"0.1334";"0";"0";"0.1722"
"g-353130";"Z_5";"10";"sum";"FALSE";"10";"0.2";"10";"log";"100";"0.1894";"0.37";"1.4551";"0.3514";"0.0898";"0.1502";"1.0291";"0.078";"0.1894";"1.4412";"0.1158";"0.3575";"0.7333";"1.5008";"0.3394";"0.664";"0.0526";"0.1473";"0.4029";"1.0291";"0.0867";"0.5681";"1.4541";"0.1158";"0.7216";"0.4167";"0.6846";"0.0575";"0.4167";"0.5416";"0.4097"
"h-922591";"Z_6";"3";"product";"TRUE";"3";"0";"0.1";"cubic";"100";"1.867";"0.6764";"0.0145";"0.0052";"0.7956";"0.9655";"0.1558";"0.0946";"1.0369";"0.0334";"0.1399";"0.8816";"0.7064";"0.0147";"0.0056";"0.1366";"0.3851";"0.7862";"1.8715";"0.1601";"0.1189";"1.3291";"0.0772";"0.3307";"0.6223";"1.2702";"0.2949";"0.5181";"1.8535";"1.2133";"1.3565"
"v-551443";"Z_2";"10";"product";"FALSE";"10";"5";"0";"square";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
