"ID";"N";"E";"Z1_int";"Z2_int";"Z3_int";"Z4_int";"Z5_int";"Z6_int";"interv"
"w-224701";"22";"1";"0";"0";"0";"0";"0";"0";"None"
"w-224701";"66";"2";"1";"0";"0";"0";"0";"1";"rand"
"w-224701";"12";"3";"1";"0";"0";"0";"0";"1";"rand"
"q-151894";"56";"1";"0";"0";"0";"0";"0";"0";"None"
"q-151894";"29";"2";"0";"1";"0";"0";"0";"1";"rand"
"q-151894";"15";"3";"0";"0";"1";"0";"0";"1";"rand"
"t-502921";"39";"1";"0";"0";"0";"0";"0";"0";"None"
"t-502921";"1";"2";"0";"1";"1";"1";"1";"1";"all"
"t-502921";"60";"3";"0";"1";"1";"1";"1";"1";"all"
"a-578479";"28";"1";"0";"0";"0";"0";"0";"0";"None"
"a-578479";"30";"2";"1";"0";"1";"1";"1";"1";"all"
"a-578479";"42";"3";"1";"0";"1";"0";"0";"0";"close"
"t-451857";"59";"1";"0";"0";"0";"0";"0";"0";"None"
"t-451857";"18";"2";"0";"0";"0";"0";"0";"1";"rand"
"t-451857";"23";"3";"0";"0";"0";"0";"0";"1";"rand"
"f-951558";"25";"1";"0";"0";"0";"0";"0";"0";"None"
"f-951558";"12";"2";"1";"0";"1";"1";"1";"1";"all"
"f-951558";"63";"3";"1";"0";"0";"1";"0";"0";"rand"
"r-236313";"69";"1";"0";"0";"0";"0";"0";"0";"None"
"r-236313";"15";"2";"1";"1";"1";"0";"1";"1";"all"
"r-236313";"16";"3";"0";"0";"1";"0";"0";"1";"close"
"r-470519";"70";"1";"0";"0";"0";"0";"0";"0";"None"
"r-470519";"2";"2";"0";"1";"1";"1";"1";"1";"all"
"r-470519";"28";"3";"0";"0";"1";"0";"0";"0";"close"
"g-868049";"71";"1";"0";"0";"0";"0";"0";"0";"None"
"g-868049";"5";"2";"1";"1";"1";"0";"1";"1";"all"
"g-868049";"24";"3";"0";"1";"0";"0";"0";"1";"rand"
"z-229275";"58";"1";"0";"0";"0";"0";"0";"0";"None"
"z-229275";"39";"2";"0";"1";"0";"0";"0";"0";"close"
"z-229275";"3";"3";"0";"1";"0";"0";"0";"0";"close"
"t-971080";"87";"1";"0";"0";"0";"0";"0";"0";"None"
"t-971080";"11";"2";"1";"0";"0";"0";"0";"1";"rand"
"t-971080";"2";"3";"0";"1";"0";"1";"0";"0";"close"
"k-105871";"46";"1";"0";"0";"0";"0";"0";"0";"None"
"k-105871";"7";"2";"0";"1";"1";"1";"1";"1";"all"
"k-105871";"47";"3";"0";"0";"1";"0";"0";"0";"close"
"l-220675";"5";"1";"0";"0";"0";"0";"0";"0";"None"
"l-220675";"36";"2";"0";"1";"0";"0";"0";"1";"rand"
"l-220675";"59";"3";"1";"1";"1";"0";"1";"1";"all"
"e-879779";"36";"1";"0";"0";"0";"0";"0";"0";"None"
"e-879779";"51";"2";"0";"1";"0";"0";"0";"0";"close"
"e-879779";"13";"3";"0";"0";"0";"0";"0";"1";"rand"
"l-603939";"40";"1";"0";"0";"0";"0";"0";"0";"None"
"l-603939";"24";"2";"1";"0";"1";"0";"0";"0";"close"
