"ID";"target";"eta_df";"multiplic";"shift";"epsilon_df";"meanshift";"strength";"F_id";"N";"pvSet_1";"pvSet_2";"pvSet_3";"pvSet_4";"pvSet_5";"pvSet_6";"pvSet_7";"pvSet_8";"pvSet_9";"pvSet_10";"pvSet_11";"pvSet_12";"pvSet_13";"pvSet_14";"pvSet_15";"pvSet_16";"pvSet_17";"pvSet_18";"pvSet_19";"pvSet_20";"pvSet_21";"pvSet_22";"pvSet_23";"pvSet_24";"pvSet_25";"pvSet_26";"pvSet_27";"pvSet_28";"pvSet_29";"pvSet_30";"pvSet_31"
"w-224701";"Z_2";"100";"sum";"FALSE";"100";"2";"10";"cubic";"100";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"1e-04";"0";"0";"0";"0"
"q-151894";"Z_4";"100";"sum";"TRUE";"100";"5";"10";"cubic";"100";"0.1472";"0";"0";"0.1761";"0";"0";"0";"0.0143";"0.0175";"0.0161";"0";"0";"0";"1e-04";"0.9624";"0.0075";"0";"0";"0";"0";"0.826";"0.0157";"0.0626";"0.8688";"0";"0.0048";"0.0278";"0.0158";"0";"0.0229";"0.0085"
"t-502921";"Z_1";"2";"sum";"TRUE";"2";"1";"2";"softplus";"100";"0.5781";"0.5376";"0.2725";"0.1362";"0.1792";"0.5376";"0.5376";"0.5781";"0.5781";"0.2961";"0.3713";"0.311";"0.2594";"0.5376";"0.1147";"0.5376";"0.5781";"0.5376";"0.5376";"0.5376";"0.5781";"0.5046";"0.4928";"0.1046";"0.5376";"0.5376";"0.5376";"0.5376";"0.5376";"0.3514";"0.5376"
"a-578479";"Z_2";"10";"sum";"FALSE";"10";"10";"0.5";"softplus";"100";"1e-04";"0.1044";"0";"0";"0";"0";"1e-04";"4e-04";"0";"0.0377";"6e-04";"0.0926";"0";"0";"0";"1e-04";"3e-04";"0";"0";"1e-04";"0";"0.1356";"0.1106";"0.1236";"4e-04";"1e-04";"3e-04";"0";"8e-04";"0.0764";"0.014"
"t-451857";"Z_5";"3";"sum";"FALSE";"3";"1";"0";"softplus";"100";"0.6422";"0.0175";"0.6676";"1.0761";"0.0113";"0.5568";"0.121";"0.4611";"5e-04";"0.0028";"0.1043";"3e-04";"1.4265";"0.0018";"6e-04";"0.3177";"0.2279";"5e-04";"0.0554";"8e-04";"2e-04";"0.0694";"2e-04";"0";"2e-04";"0.0582";"9e-04";"1e-04";"1e-04";"1e-04";"1e-04"
"f-951558";"Z_2";"3";"sum";"TRUE";"3";"1";"1";"log";"100";"0.1432";"0.0055";"0.1084";"0.3936";"0.1903";"0.1391";"0.1801";"0.2513";"0.2287";"0.0066";"0.0086";"0.0417";"0.1368";"0.0367";"0.0233";"0.0322";"0.365";"0.0749";"0.1884";"0.0662";"0.3444";"0.0231";"0.0388";"0.057";"0.0143";"0.0763";"0.0074";"0.2371";"0.1266";"0.0664";"0.1804"
"r-236313";"Z_4";"2";"product";"FALSE";"2";"1";"0.2";"softplus";"100";"0.1545";"0.5968";"0.0449";"0.7348";"0.3551";"0.3772";"0.1339";"0.7632";"0.3489";"0.0084";"1.6521";"0.0461";"0.4638";"0.8805";"0.3905";"1.2196";"0.2012";"0.622";"0.0038";"0.002";"0.4132";"0.1608";"0.9909";"0.7048";"0.8087";"0.8936";"0.8151";"0.2349";"1.0456";"0.6995";"1.3007"
"r-470519";"Z_1";"50";"product";"TRUE";"50";"0.2";"0";"log";"100";"1.4511";"0.6758";"0.0777";"0.7439";"1.746";"0.3018";"0.4458";"1.3391";"1.7575";"0.602";"0.5535";"0.4426";"0.0391";"0.3418";"1.5757";"0.2849";"0.3196";"0.3196";"0.7404";"0.8244";"1.967";"0.4185";"0.5043";"0.5263";"1.1769";"0.2849";"0.3196";"0.1648";"1.0797";"0.424";"0.1596"
"g-868049";"Z_4";"5";"product";"FALSE";"5";"0.1";"1";"log";"100";"0.0513";"0";"0.2055";"0.1632";"0.0019";"0.1549";"0.1432";"0.0608";"0.0735";"0.1466";"0";"0";"0.2529";"0.0936";"0";"0.2806";"0.7315";"0.112";"0.3808";"0.1572";"0.127";"0.3029";"0.1055";"0";"0.1902";"0.2825";"0.2248";"0.5713";"0.2124";"0.1222";"0.3863"
"z-229275";"Z_1";"3";"sum";"TRUE";"3";"2";"0.2";"cubic";"100";"0.9568";"1.9433";"1.7476";"1.0548";"1.8525";"0.8743";"1.0166";"1.0166";"0.7412";"1.3413";"1.9079";"1.2402";"1.7334";"1.1786";"1.9652";"0.6626";"0.69";"0.4187";"0.6626";"0.7779";"0.9434";"1.32";"0.8869";"1.1401";"1.1898";"0.69";"0.3273";"0.6359";"0.5378";"0.8768";"0.1685"
